% amp_lsp amp_dsnr delta_heff veg_correction slope_correction
  0.7549   0.5738   0.0772 -48.8120   0.4915
  1.0003   1.0004   0.0000   0.7745   0.0833
  0.7705   0.6771   0.0475 -28.2485   0.4326
  0.5295   0.2770   0.1246 -170.3181   0.1383
  0.7570   0.6714   0.0475 -27.8805   0.4746
  0.6838   0.4911   0.0831 -72.8214   0.4197
  0.5966   0.4172   0.0831 -82.1396   0.4432
  0.2858   0.2172   0.2552 -42.1251   1.0626
  0.7145   0.5408   0.0772 -59.4955   0.3868
  0.8312   0.7898   0.0237 -16.9250   0.3227
  0.8345   0.7833   0.0297 -17.0405   0.2871
  0.6241   0.4290   0.0890 -79.4632   0.4517
  0.8084   0.7389   0.0356 -23.0137   0.3817
  0.9834   0.9808   0.0059  -1.6681   0.0393
  0.9147   0.9219   0.0000  -4.5120   0.1393
  0.6453   0.6730  -0.0297 -16.6392   0.3604
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.6827   0.6385   0.0297 -28.5887   0.5367
  0.9901   0.9937   0.0000   3.6636   0.1955
  0.9040   0.8866   0.0119  -8.5442   0.1816
  0.4504   0.2971   0.0890 -108.0607   0.5174
  0.6307   0.5889   0.0297 -33.6092   0.6016
  0.6579   0.5143   0.0831 -42.1935   0.6261
  1.0000   1.0000   0.0000   0.0000   0.0017
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.8783   0.8536   0.0119 -10.2423   0.2115
  0.6303   0.4180   0.0950 -81.1618   0.5032
  0.6181   0.2759   0.1662 -80.5020   1.0839
  0.7229   0.5391   0.0831 -50.2347   0.5781
  0.7800   0.7885  -0.0059 -12.6436   0.2926
  0.7436   0.5846   0.0653 -52.1749   0.3429
  0.6863   0.5101   0.0772 -66.2089   0.3855
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.9854   0.9882   0.0000   1.6685   0.1680
  0.9443   0.9475   0.0000  -3.2699   0.0964
  0.7554   0.6239   0.0594 -35.1120   0.4264
  0.6648   0.4707   0.0831 -79.5153   0.4163
  0.6739   0.4924   0.0772 -70.8354   0.3982
  0.7442   0.6787   0.0356 -24.6463   0.4679
  0.9019   0.9114  -0.0059  -5.9945   0.1876
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.8222   0.7669   0.0297 -18.4405   0.3136
  0.7567   0.6772   0.0415 -25.1774   0.4179
  0.6243   0.2254   0.1721 -137.8615   0.9724
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.8221   0.8458  -0.0119  -2.1931   0.1437
  0.9192   0.9034   0.0119  -7.4158   0.1559
  0.7801   0.6429   0.0594 -38.1827   0.3484
  0.7141   0.4990   0.0950 -61.3318   0.5856
  0.7830   0.6795   0.0534 -29.5587   0.4089
  0.8865   0.8395   0.0237 -13.0559   0.1864
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.9090   0.8955   0.0059  -7.3343   0.1645
  0.6542   0.3969   0.1246 -65.6989   0.8791
  0.8380   0.7636   0.0356 -20.3923   0.2798
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.7408   0.5936   0.0712 -39.8311   0.4750
  0.7740   0.6208   0.0653 -41.7486   0.3975
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.7086   0.6008   0.0594 -34.1032   0.5905
  0.6812   0.5059   0.0772 -66.7171   0.3877
  0.8803   0.8562   0.0119 -11.2453   0.2296
  0.6189   0.3677   0.1128 -85.5018   0.6619
  0.4200   0.1744   0.6232 -162.5920   0.2361
  0.7441   0.5724   0.0772 -46.1335   0.5169
  0.7500   0.1746   0.2018 -177.6592   1.1144
  1.0000   1.0000   0.0000   0.0000   0.0017
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.6883   0.1743   0.1959 -88.0264   1.3748
  0.8292   0.7337   0.0475 -24.8574   0.2843
  0.9826   0.9852   0.0000  -1.5302   0.0693
  0.7481   0.5955   0.0653 -46.4073   0.3620
  0.3594   0.2795   0.1899 -53.5386   1.0802
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.6824   0.6310   0.0297 -28.7160   0.5474
  0.8693   0.8354   0.0178 -12.2010   0.2250
  0.6561   0.6877  -0.0297  -7.7510  -0.0391
  1.0000   1.0000   0.0000   0.0000   0.0017
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.7471   0.5548   0.0831 -52.0810   0.5284
  0.6957   0.4620   0.1009 -68.6761   0.6353
  0.7851   0.6995   0.0415 -25.7367   0.3883
  0.7904   0.6601   0.0594 -38.0489   0.2984
  0.3464   0.3655  -0.0475 -40.3696   0.8116
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.3734   0.2112   0.5104 -168.1631   0.5356
  0.5914   0.4739   0.0831 -38.9504   0.7764
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.8007   0.6646   0.0594 -36.4658   0.3475
  0.9125   0.9241  -0.0059  -2.5739   0.1569
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.7834   0.7912  -0.0059 -13.4020   0.3023
  0.7898   0.6384   0.0653 -40.6548   0.3863
  0.9550   0.9608   0.0000  -1.6769   0.0878
  0.6150   0.4120   0.0890 -90.0698   0.4533
  0.3604   0.3807  -0.0534 -36.9845   0.7370
  0.4777   0.2815   0.1009 -130.2926   0.4817
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.9104   0.9219  -0.0059  -3.0414   0.1547
  0.3930   0.2346   0.2018 -56.5722   1.1839
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.4722   0.2721   0.1009 -138.7236   0.4797
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.7102   0.5569   0.0712 -50.9331   0.3589
  0.6845   0.5393   0.0831 -41.4099   0.6728
  0.7360   0.5676   0.0712 -52.6581   0.3943
  0.7143   0.5335   0.0831 -50.0648   0.5423
  0.8814   0.8969  -0.0059  -4.9133   0.2220
  0.4865   0.2738   0.1009 -138.4183   0.4470
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.7315   0.5301   0.0890 -56.3721   0.5408
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.5248   0.3019   0.1009 -158.8875   0.0951
  0.7148   0.5967   0.0653 -35.5382   0.5853
  0.4461   0.2884   0.0890 -120.4052   0.5099
  0.5994   0.4152   0.0831 -85.2528   0.4296
  0.9862   0.9885   0.0000  -0.0172   0.1073
